edgeId,dependentAssetId,dependencyAssetId,dependencyRole,impactScope,pathId,pathClass
DEP-GEN-SCN-20260638-POWER,ASSET-GEN-GPU-SCN-20260638,ASSET-GEN-UPS-SCN-20260638,power-feed,pod,PATH-GEN-SCN-20260638-POWER,POWER
DEP-GEN-SCN-20260638-COOLING,ASSET-GEN-GPU-SCN-20260638,ASSET-GEN-CHW-SCN-20260638,cooling-loop,row,PATH-GEN-SCN-20260638-COOLING,COOLING
DEP-GEN-SCN-20260638-BLAST,ASSET-GEN-DCIM-SCN-20260638,ASSET-GEN-GPU-SCN-20260638,telemetry-source,pod,PATH-GEN-SCN-20260638-BLAST,TELEMETRY
DEP-GEN-SCN-20260639-POWER,ASSET-GEN-GPU-SCN-20260639,ASSET-GEN-UPS-SCN-20260639,power-feed,pod,PATH-GEN-SCN-20260639-POWER,POWER
DEP-GEN-SCN-20260639-COOLING,ASSET-GEN-GPU-SCN-20260639,ASSET-GEN-CHW-SCN-20260639,cooling-loop,row,PATH-GEN-SCN-20260639-COOLING,COOLING
DEP-GEN-SCN-20260639-BLAST,ASSET-GEN-DCIM-SCN-20260639,ASSET-GEN-GPU-SCN-20260639,telemetry-source,pod,PATH-GEN-SCN-20260639-BLAST,TELEMETRY
DEP-GEN-SCN-20260640-POWER,ASSET-GEN-GPU-SCN-20260640,ASSET-GEN-UPS-SCN-20260640,power-feed,pod,PATH-GEN-SCN-20260640-POWER,POWER
DEP-GEN-SCN-20260640-COOLING,ASSET-GEN-GPU-SCN-20260640,ASSET-GEN-CHW-SCN-20260640,cooling-loop,row,PATH-GEN-SCN-20260640-COOLING,COOLING
DEP-GEN-SCN-20260640-BLAST,ASSET-GEN-DCIM-SCN-20260640,ASSET-GEN-GPU-SCN-20260640,telemetry-source,pod,PATH-GEN-SCN-20260640-BLAST,TELEMETRY
DEP-GEN-SCN-20260641-POWER,ASSET-GEN-GPU-SCN-20260641,ASSET-GEN-UPS-SCN-20260641,power-feed,pod,PATH-GEN-SCN-20260641-POWER,POWER
DEP-GEN-SCN-20260641-COOLING,ASSET-GEN-GPU-SCN-20260641,ASSET-GEN-CHW-SCN-20260641,cooling-loop,row,PATH-GEN-SCN-20260641-COOLING,COOLING
DEP-GEN-SCN-20260641-BLAST,ASSET-GEN-DCIM-SCN-20260641,ASSET-GEN-GPU-SCN-20260641,telemetry-source,pod,PATH-GEN-SCN-20260641-BLAST,TELEMETRY
DEP-GEN-SCN-20260642-POWER,ASSET-GEN-GPU-SCN-20260642,ASSET-GEN-UPS-SCN-20260642,power-feed,pod,PATH-GEN-SCN-20260642-POWER,POWER
DEP-GEN-SCN-20260642-COOLING,ASSET-GEN-GPU-SCN-20260642,ASSET-GEN-CHW-SCN-20260642,cooling-loop,row,PATH-GEN-SCN-20260642-COOLING,COOLING
DEP-GEN-SCN-20260642-BLAST,ASSET-GEN-DCIM-SCN-20260642,ASSET-GEN-GPU-SCN-20260642,telemetry-source,pod,PATH-GEN-SCN-20260642-BLAST,TELEMETRY
DEP-GEN-SCN-20260643-POWER,ASSET-GEN-GPU-SCN-20260643,ASSET-GEN-UPS-SCN-20260643,power-feed,pod,PATH-GEN-SCN-20260643-POWER,POWER
DEP-GEN-SCN-20260643-COOLING,ASSET-GEN-GPU-SCN-20260643,ASSET-GEN-CHW-SCN-20260643,cooling-loop,row,PATH-GEN-SCN-20260643-COOLING,COOLING
DEP-GEN-SCN-20260643-BLAST,ASSET-GEN-DCIM-SCN-20260643,ASSET-GEN-GPU-SCN-20260643,telemetry-source,pod,PATH-GEN-SCN-20260643-BLAST,TELEMETRY
DEP-GEN-SCN-20260644-POWER,ASSET-GEN-GPU-SCN-20260644,ASSET-GEN-UPS-SCN-20260644,power-feed,pod,PATH-GEN-SCN-20260644-POWER,POWER
DEP-GEN-SCN-20260644-COOLING,ASSET-GEN-GPU-SCN-20260644,ASSET-GEN-CHW-SCN-20260644,cooling-loop,row,PATH-GEN-SCN-20260644-COOLING,COOLING
DEP-GEN-SCN-20260644-BLAST,ASSET-GEN-DCIM-SCN-20260644,ASSET-GEN-GPU-SCN-20260644,telemetry-source,pod,PATH-GEN-SCN-20260644-BLAST,TELEMETRY
DEP-GEN-SCN-20260645-POWER,ASSET-GEN-GPU-SCN-20260645,ASSET-GEN-UPS-SCN-20260645,power-feed,pod,PATH-GEN-SCN-20260645-POWER,POWER
DEP-GEN-SCN-20260645-COOLING,ASSET-GEN-GPU-SCN-20260645,ASSET-GEN-CHW-SCN-20260645,cooling-loop,row,PATH-GEN-SCN-20260645-COOLING,COOLING
DEP-GEN-SCN-20260645-BLAST,ASSET-GEN-DCIM-SCN-20260645,ASSET-GEN-GPU-SCN-20260645,telemetry-source,pod,PATH-GEN-SCN-20260645-BLAST,TELEMETRY
DEP-GEN-SCN-20260646-POWER,ASSET-GEN-GPU-SCN-20260646,ASSET-GEN-UPS-SCN-20260646,power-feed,pod,PATH-GEN-SCN-20260646-POWER,POWER
DEP-GEN-SCN-20260646-COOLING,ASSET-GEN-GPU-SCN-20260646,ASSET-GEN-CHW-SCN-20260646,cooling-loop,row,PATH-GEN-SCN-20260646-COOLING,COOLING
DEP-GEN-SCN-20260646-BLAST,ASSET-GEN-DCIM-SCN-20260646,ASSET-GEN-GPU-SCN-20260646,telemetry-source,pod,PATH-GEN-SCN-20260646-BLAST,TELEMETRY
DEP-GEN-SCN-20260647-POWER,ASSET-GEN-GPU-SCN-20260647,ASSET-GEN-UPS-SCN-20260647,power-feed,pod,PATH-GEN-SCN-20260647-POWER,POWER
DEP-GEN-SCN-20260647-COOLING,ASSET-GEN-GPU-SCN-20260647,ASSET-GEN-CHW-SCN-20260647,cooling-loop,row,PATH-GEN-SCN-20260647-COOLING,COOLING
DEP-GEN-SCN-20260647-BLAST,ASSET-GEN-DCIM-SCN-20260647,ASSET-GEN-GPU-SCN-20260647,telemetry-source,pod,PATH-GEN-SCN-20260647-BLAST,TELEMETRY
DEP-GEN-SCN-20260648-POWER,ASSET-GEN-GPU-SCN-20260648,ASSET-GEN-UPS-SCN-20260648,power-feed,pod,PATH-GEN-SCN-20260648-POWER,POWER
DEP-GEN-SCN-20260648-COOLING,ASSET-GEN-GPU-SCN-20260648,ASSET-GEN-CHW-SCN-20260648,cooling-loop,row,PATH-GEN-SCN-20260648-COOLING,COOLING
DEP-GEN-SCN-20260648-BLAST,ASSET-GEN-DCIM-SCN-20260648,ASSET-GEN-GPU-SCN-20260648,telemetry-source,pod,PATH-GEN-SCN-20260648-BLAST,TELEMETRY
DEP-GEN-SCN-20260649-POWER,ASSET-GEN-GPU-SCN-20260649,ASSET-GEN-UPS-SCN-20260649,power-feed,pod,PATH-GEN-SCN-20260649-POWER,POWER
DEP-GEN-SCN-20260649-COOLING,ASSET-GEN-GPU-SCN-20260649,ASSET-GEN-CHW-SCN-20260649,cooling-loop,row,PATH-GEN-SCN-20260649-COOLING,COOLING
DEP-GEN-SCN-20260649-BLAST,ASSET-GEN-DCIM-SCN-20260649,ASSET-GEN-GPU-SCN-20260649,telemetry-source,pod,PATH-GEN-SCN-20260649-BLAST,TELEMETRY
DEP-GEN-SCN-20260650-POWER,ASSET-GEN-GPU-SCN-20260650,ASSET-GEN-UPS-SCN-20260650,power-feed,pod,PATH-GEN-SCN-20260650-POWER,POWER
DEP-GEN-SCN-20260650-COOLING,ASSET-GEN-GPU-SCN-20260650,ASSET-GEN-CHW-SCN-20260650,cooling-loop,row,PATH-GEN-SCN-20260650-COOLING,COOLING
DEP-GEN-SCN-20260650-BLAST,ASSET-GEN-DCIM-SCN-20260650,ASSET-GEN-GPU-SCN-20260650,telemetry-source,pod,PATH-GEN-SCN-20260650-BLAST,TELEMETRY
DEP-GEN-SCN-20260651-POWER,ASSET-GEN-GPU-SCN-20260651,ASSET-GEN-UPS-SCN-20260651,power-feed,pod,PATH-GEN-SCN-20260651-POWER,POWER
DEP-GEN-SCN-20260651-COOLING,ASSET-GEN-GPU-SCN-20260651,ASSET-GEN-CHW-SCN-20260651,cooling-loop,row,PATH-GEN-SCN-20260651-COOLING,COOLING
DEP-GEN-SCN-20260651-BLAST,ASSET-GEN-DCIM-SCN-20260651,ASSET-GEN-GPU-SCN-20260651,telemetry-source,pod,PATH-GEN-SCN-20260651-BLAST,TELEMETRY
DEP-GEN-SCN-20260652-POWER,ASSET-GEN-GPU-SCN-20260652,ASSET-GEN-UPS-SCN-20260652,power-feed,pod,PATH-GEN-SCN-20260652-POWER,POWER
DEP-GEN-SCN-20260652-COOLING,ASSET-GEN-GPU-SCN-20260652,ASSET-GEN-CHW-SCN-20260652,cooling-loop,row,PATH-GEN-SCN-20260652-COOLING,COOLING
DEP-GEN-SCN-20260652-BLAST,ASSET-GEN-DCIM-SCN-20260652,ASSET-GEN-GPU-SCN-20260652,telemetry-source,pod,PATH-GEN-SCN-20260652-BLAST,TELEMETRY
DEP-GEN-SCN-20260653-POWER,ASSET-GEN-GPU-SCN-20260653,ASSET-GEN-UPS-SCN-20260653,power-feed,pod,PATH-GEN-SCN-20260653-POWER,POWER
DEP-GEN-SCN-20260653-COOLING,ASSET-GEN-GPU-SCN-20260653,ASSET-GEN-CHW-SCN-20260653,cooling-loop,row,PATH-GEN-SCN-20260653-COOLING,COOLING
DEP-GEN-SCN-20260653-BLAST,ASSET-GEN-DCIM-SCN-20260653,ASSET-GEN-GPU-SCN-20260653,telemetry-source,pod,PATH-GEN-SCN-20260653-BLAST,TELEMETRY
DEP-GEN-SCN-20260654-POWER,ASSET-GEN-GPU-SCN-20260654,ASSET-GEN-UPS-SCN-20260654,power-feed,pod,PATH-GEN-SCN-20260654-POWER,POWER
DEP-GEN-SCN-20260654-COOLING,ASSET-GEN-GPU-SCN-20260654,ASSET-GEN-CHW-SCN-20260654,cooling-loop,row,PATH-GEN-SCN-20260654-COOLING,COOLING
DEP-GEN-SCN-20260654-BLAST,ASSET-GEN-DCIM-SCN-20260654,ASSET-GEN-GPU-SCN-20260654,telemetry-source,pod,PATH-GEN-SCN-20260654-BLAST,TELEMETRY
DEP-GEN-SCN-20260655-POWER,ASSET-GEN-GPU-SCN-20260655,ASSET-GEN-UPS-SCN-20260655,power-feed,pod,PATH-GEN-SCN-20260655-POWER,POWER
DEP-GEN-SCN-20260655-COOLING,ASSET-GEN-GPU-SCN-20260655,ASSET-GEN-CHW-SCN-20260655,cooling-loop,row,PATH-GEN-SCN-20260655-COOLING,COOLING
DEP-GEN-SCN-20260655-BLAST,ASSET-GEN-DCIM-SCN-20260655,ASSET-GEN-GPU-SCN-20260655,telemetry-source,pod,PATH-GEN-SCN-20260655-BLAST,TELEMETRY
DEP-GEN-SCN-20260656-POWER,ASSET-GEN-GPU-SCN-20260656,ASSET-GEN-UPS-SCN-20260656,power-feed,pod,PATH-GEN-SCN-20260656-POWER,POWER
DEP-GEN-SCN-20260656-COOLING,ASSET-GEN-GPU-SCN-20260656,ASSET-GEN-CHW-SCN-20260656,cooling-loop,row,PATH-GEN-SCN-20260656-COOLING,COOLING
DEP-GEN-SCN-20260656-BLAST,ASSET-GEN-DCIM-SCN-20260656,ASSET-GEN-GPU-SCN-20260656,telemetry-source,pod,PATH-GEN-SCN-20260656-BLAST,TELEMETRY
DEP-GEN-SCN-20260657-POWER,ASSET-GEN-GPU-SCN-20260657,ASSET-GEN-UPS-SCN-20260657,power-feed,pod,PATH-GEN-SCN-20260657-POWER,POWER
DEP-GEN-SCN-20260657-COOLING,ASSET-GEN-GPU-SCN-20260657,ASSET-GEN-CHW-SCN-20260657,cooling-loop,row,PATH-GEN-SCN-20260657-COOLING,COOLING
DEP-GEN-SCN-20260657-BLAST,ASSET-GEN-DCIM-SCN-20260657,ASSET-GEN-GPU-SCN-20260657,telemetry-source,pod,PATH-GEN-SCN-20260657-BLAST,TELEMETRY
